mu,seed,target,excluded_initial_rounds,included_all_rounds,excluding_initial_rounds,excluded_minus_included,excluded_over_included
0.2,6,Mean_abs_delta_pred_T,3,174.51107459958402,164.8704981516243,-9.640576447959717,0.9447566495703494
0.2,7,Mean_abs_delta_pred_T,3,189.10242570056687,179.05247560032413,-10.04995010024274,0.9468544622682087
0.2,8,Mean_abs_delta_pred_T,3,174.97883513128426,167.90949865915974,-7.069336472124519,0.9595989053943553
0.2,9,Mean_abs_delta_pred_T,3,184.21832115837722,179.36950389315564,-4.848817265221584,0.9736789629026478
0.0,0,Mean_abs_delta_error_T,3,31.361653888322536,31.361165589107678,-0.0004882992148580456,0.9999844300553601
0.0,1,Mean_abs_delta_error_T,3,31.262242458486842,31.292202762566454,0.029960304079612143,1.0009583542869451
0.0,2,Mean_abs_delta_error_T,3,31.322571657227353,31.283934654119196,-0.038637003108156875,0.9987664804942911
0.0,3,Mean_abs_delta_error_T,3,31.461881478052856,31.477425841523633,0.015544363470777256,1.0004940697358364
0.0,4,Mean_abs_delta_error_T,3,31.309446569540427,31.32499454629573,0.01554797675530395,1.0004965905967316
0.0,5,Mean_abs_delta_error_T,3,31.390769628364307,31.42081220698425,0.03004257861994475,1.0009570513554022
0.0,6,Mean_abs_delta_error_T,3,31.238861104285267,31.268808065189525,0.02994696090425819,1.000958644452635
0.0,7,Mean_abs_delta_error_T,3,31.328989060897253,31.30155004628534,-0.02743901461191456,0.9991241653358626
0.0,8,Mean_abs_delta_error_T,3,31.29232034700587,31.319655299250243,0.027334952244373767,1.0008735354854243
0.0,9,Mean_abs_delta_error_T,3,31.253618900340143,31.185844134333273,-0.06777476600687038,0.9978314586153051
0.05,0,Mean_abs_delta_error_T,3,36.8151089603165,35.45065164383102,-1.3644573164854776,0.9629375722354578
0.05,1,Mean_abs_delta_error_T,3,36.22244101013596,35.03979483444667,-1.1826461756892925,0.967350456161738
0.05,2,Mean_abs_delta_error_T,3,35.71443203659474,34.692688372117004,-1.0217436644777322,0.9713912946051948
0.05,3,Mean_abs_delta_error_T,3,36.423673510381484,35.44980160126088,-0.9738719091206036,0.9732626664127376
0.05,4,Mean_abs_delta_error_T,3,34.97118833494636,34.36672363340651,-0.6044647015398539,0.9827153513986878
0.05,5,Mean_abs_delta_error_T,3,36.08225848671053,35.374206343518736,-0.708052143191793,0.980376723273778
0.05,6,Mean_abs_delta_error_T,3,35.9809994792795,34.56667319419127,-1.4143262850882294,0.9606924125078098
0.05,7,Mean_abs_delta_error_T,3,37.68169623165867,36.25142446350249,-1.4302717681561816,0.9620433284275954
