round,mu,seed,delta_rep,v_t,observable_fr_step,channel,channel_label,observable_fr_step_z_within_channel
5,0.0,7,2204.8756239940412,1181.8949571935227,0.003166218264245646,blind,Weak blind,-0.8323311009026761
6,0.0,7,1448.3321943922201,871.6801112488029,0.0035042016609147784,blind,Weak blind,-0.7748528095217991
7,0.0,7,329.2625702228979,739.201783186174,0.003713121051503161,blind,Weak blind,-0.7393234618505883
8,0.0,7,298.50640694989124,1216.5350421520998,0.0030453568558501823,blind,Weak blind,-0.852885090586549
9,0.0,7,109.44290088338312,1236.3399302198086,0.002123828317478574,blind,Weak blind,-1.0096025103365192
10,0.0,7,1774.9484152923105,2304.8598588891327,0.0034318738346036603,blind,Weak blind,-0.7871530583406061
11,0.0,7,263.4979355239775,785.6897481916822,0.0028760135338716385,blind,Weak blind,-0.8816840342625223
12,0.0,7,153.60461217700504,1380.7342968150042,0.003003530262825161,blind,Weak blind,-0.8599982243234557
13,0.0,7,1206.3326950269402,642.3462268181611,0.0032824646328488195,blind,Weak blind,-0.8125619562867263
14,0.0,7,489.73329939873656,945.1256934143603,0.0026487141439023,blind,Weak blind,-0.9203391300338183
15,0.0,7,1582.0477659842581,1824.1923598379362,0.0038125233441604124,blind,Weak blind,-0.722418862401066
16,0.0,7,1810.533389824559,2114.573703650967,0.0012262738046351692,blind,Weak blind,-1.1622428480805007
17,0.0,7,3050.5087980815442,1375.9666963415802,0.0012261806711008523,blind,Weak blind,-1.1622586865994209
18,0.0,7,3261.455531346204,1655.4479115580325,0.00218220200317666,blind,Weak blind,-0.9996753371422251
0,0.0,8,2639.571655156964,1787.9248348062974,0.004035532479472474,blind,Weak blind,-0.6844933779352935
1,0.0,8,1248.132687719888,1368.3816084993305,0.0026960557336080044,blind,Weak blind,-0.9122881023373239
2,0.0,8,2730.661399157718,1793.290641518135,0.003574673092185186,blind,Weak blind,-0.7628682638295937
3,0.0,8,2924.135439750389,1530.6111036232323,0.005178297447511172,blind,Weak blind,-0.49015194442077
4,0.0,8,2846.149158386863,1840.328890270379,0.002124129050699137,blind,Weak blind,-1.0095513669021088
5,0.0,8,3571.222359716543,2172.0241647562943,0.0029187830292194497,blind,Weak blind,-0.8744105482272863
6,0.0,8,837.1161035336554,916.8844197621802,0.0018730873598742568,blind,Weak blind,-1.0522441370091153
7,0.0,8,3150.449060380808,2683.798776940559,0.0027417269561215516,blind,Weak blind,-0.9045211414119493
