round,mu,seed,empirical_loss,preq_target,v_t,fr_step_null,fr_step_coarse,fr_step_task_no_qty,fr_step_task_no_cost,fr_step_task_no_group,fr_step_task
18,0.0,6,349623.70500691555,342933.18339891685,1992.971674159984,0.0,0.0039455035425695175,0.028363392313000137,0.019844519154066254,0.03106807069233013,0.04231880779297332
0,0.0,7,326187.7872934664,315225.3066305133,1395.9773403090658,0.0,0.007487940126271452,0.03137383245256569,0.1803252979937484,0.1836201806383181,0.18765883822419718
1,0.0,7,308433.2011875896,316436.8493595072,1272.7455513260793,0.0,0.004680023584200653,0.019499790076686205,0.031937913531400325,0.02852243499948455,0.04503996798899084
2,0.0,7,331698.4501681866,317886.2333878091,1492.5280597206438,0.0,0.00813012201290456,0.013729994720322452,0.0328757383367887,0.028507494461613644,0.04905487468618649
3,0.0,7,328026.8100347561,319620.42487643886,1608.265147135884,0.0,0.0036959843426012324,0.01330058046646838,0.03882393919775409,0.039274771228841376,0.05369894612061616
4,0.0,7,322421.32975520106,320914.6067987669,1260.5367277811165,0.0,0.004941144294204086,0.01429056338937268,0.031109156823257968,0.031322864986567715,0.045519027649385584
5,0.0,7,308803.9013434665,322444.15144234983,1689.7069625631557,0.0,0.0034428198331650796,0.011493280782890674,0.033116923698266174,0.03321921519479584,0.05045581769800441
6,0.0,7,310353.03123467835,323626.4746936975,1043.6647397978813,0.0,0.007239405220101243,0.014578048378431034,0.026031340687873123,0.03701253885022881,0.046826478078059404
7,0.0,7,352608.1401965466,325085.7227673281,1450.5932945530512,0.0,0.00288575030983552,0.016104851601526665,0.028506213347509378,0.032105594309551844,0.04575307869611864
8,0.0,7,333668.2287309444,325688.67882459087,619.0923445812659,0.0,0.009231122897460857,0.017779559480279816,0.024221555818471772,0.02543714890479784,0.03998354273325055
9,0.0,7,319856.58697409084,326277.51071995,537.8712059752434,0.0,0.009572080426108064,0.025959024495031662,0.03501331409740342,0.0386872305075684,0.0548143943346001
10,0.0,7,319854.69243959046,328281.1700842132,2046.0929362475872,0.0,0.004170236904115459,0.0128438837741263,0.028655539658190586,0.030237713882021233,0.042992116603260834
11,0.0,7,310704.73904889805,329686.9740805989,1500.2158428934636,0.0,0.005096155634390726,0.024488525782520285,0.02650821097287579,0.03556750558925674,0.04363582506179943
