mu,target,target_role,channel,predictor,n_steps,pearson,spearman,slope
all_positive,mean_abs_delta_pred,prediction_motion,task_no_group,fr_step_task_no_group,570,0.6310062562666812,0.812771483154036,494.94413335565366
all_positive,mean_abs_delta_pred,prediction_motion,task_no_qty,fr_step_task_no_qty,570,0.4873777483137022,0.5014418893904034,473.3697185659592
all_positive,mean_abs_delta_error,error_motion,blind,fr_step_blind,570,0.9126323420701157,0.8367932641739191,2427.6826637643044
all_positive,mean_abs_delta_error,error_motion,coarse,fr_step_coarse,570,0.8361178063882385,0.7393361920894932,244.177136227862
all_positive,mean_abs_delta_error,error_motion,task,fr_step_task,570,0.8364059470233202,0.8330403893938862,209.39342393820962
all_positive,mean_abs_delta_error,error_motion,task_no_cost,fr_step_task_no_cost,570,0.8333878238411122,0.8364989540879184,192.5036686518911
all_positive,mean_abs_delta_error,error_motion,task_no_group,fr_step_task_no_group,570,0.832250704652688,0.8268208695139428,203.7708669802366
all_positive,mean_abs_delta_error,error_motion,task_no_qty,fr_step_task_no_qty,570,0.8392547828277107,0.7487242432101573,254.44504998626704
all_positive,mean_abs_delta_loss,loss_motion,blind,fr_step_blind,570,0.7692010380564986,0.731361179287944,1991705.527003838
all_positive,mean_abs_delta_loss,loss_motion,coarse,fr_step_coarse,570,0.5801791433835081,0.38914250436694414,164925.89180089353
all_positive,mean_abs_delta_loss,loss_motion,task,fr_step_task,570,0.7223143303516348,0.8071519230024683,176019.73493832588
all_positive,mean_abs_delta_loss,loss_motion,task_no_cost,fr_step_task_no_cost,570,0.7115334665859849,0.8081426114447552,159983.94307151026
all_positive,mean_abs_delta_loss,loss_motion,task_no_group,fr_step_task_no_group,570,0.7172673610217731,0.8109020114915066,170945.70584422274
all_positive,mean_abs_delta_loss,loss_motion,task_no_qty,fr_step_task_no_qty,570,0.6220096570622969,0.49117965566951094,183563.5779309847
